OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
Vihti;355641;6700134;Vihti;226;19610404;1961;4;4;3355000;6705000;-2.4;1.2;-8.8;2.0;7572;4.70;0.30;100.0
Vihti;355641;6700134;Vihti;226;19610405;1961;4;5;3355000;6705000;-2.8;3.4;-8.3;2.0;11072;4.71;0.30;102.0
Vihti;355641;6700134;Vihti;226;19610406;1961;4;6;3355000;6705000;0.3;1.8;-1.4;2.0;5530;5.94;0.30;104.0
Vihti;355641;6700134;Vihti;226;19610407;1961;4;7;3355000;6705000;0.7;1.1;0.2;6.0;2930;6.24;0.30;110.0
Vihti;355641;6700134;Vihti;226;19610408;1961;4;8;3355000;6705000;1.1;4.7;-1.0;0.0;9073;4.77;0.30;110.0
Vihti;355641;6700134;Vihti;226;19610409;1961;4;9;3355000;6705000;-1.5;3.7;-10.2;0.0;15325;3.54;0.30;110.0
Vihti;355641;6700134;Vihti;226;19610410;1961;4;10;3355000;6705000;-1.3;2.9;-6.7;3.0;11992;4.00;0.30;113.0
Vihti;355641;6700134;Vihti;226;19610411;1961;4;11;3355000;6705000;-2.7;3.4;-9.2;0.0;15209;3.70;0.30;113.0
Vihti;355641;6700134;Vihti;226;19610412;1961;4;12;3355000;6705000;-3.6;3.3;-13.2;4.0;15477;3.36;0.30;117.0
Vihti;355641;6700134;Vihti;226;19610413;1961;4;13;3355000;6705000;-0.3;0.6;-1.4;0.0;5592;4.96;0.30;117.0
Vihti;355641;6700134;Vihti;226;19610414;1961;4;14;3355000;6705000;0.6;4.0;-5.9;1.0;3706;6.67;0.30;118.0
Vihti;355641;6700134;Vihti;226;19610415;1961;4;15;3355000;6705000;3.3;4.7;1.7;0.0;2793;8.33;0.30;118.0
Vihti;355641;6700134;Vihti;226;19610416;1961;4;16;3355000;6705000;5.3;9.4;2.0;0.0;12551;6.85;0.60;118.0
